launch_service_provider,mission,name,net,pad,rocket,status
United States Air Force,GATV 8,Atlas SLV-3 Agena D | GATV 8,03/16/1966 3 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,KH-7 26,Atlas SLV-3 Agena D | KH-7 26,03/18/1966 8 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Transit-O 8,Scout A | Transit-O 8,03/26/1966 3:31 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout A,Launch Successful
United States Air Force,OV1-4 & 5,Atlas D | OV1-4 & 5,03/30/1966 9:20 a.m.,"576B3 | Vandenberg SFB, CA, USA",Atlas D,Launch Successful
United States Air Force,DSAP-2 F3,Thor Burner 1 | DSAP-2 F3,03/31/1966 5:41 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor Burner 1,Launch Successful
United States Air Force,KH-4A 31,Thor SLV-2A Agena D | KH-4A 31,04/07/1966 10:02 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Surveyor M-2,Atlas Centaur D | Surveyor M-2,04/08/1966 1 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas Centaur D,Launch Successful
United States Air Force,OAO 1,Atlas SLV-3 Agena D | OAO 1,04/08/1966 7:35 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,KH-7 27,Atlas SLV-3 Agena D | KH-7 27,04/19/1966 7:15 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OV3-1,Scout B | OV3-1,04/22/1966 9:45 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout B,Launch Successful
United States Air Force,KH-4A 32,Thor SLV-2A Agena D | KH-4A 32,05/03/1966 7:25 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Failure
United States Air Force,KH-7 28,Atlas SLV-3 Agena D | KH-7 28,05/14/1966 7:02 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Nimbus 2,Thor SLV-2A Agena B | Nimbus 2,05/15/1966 7:55 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena B,Launch Successful
United States Air Force,GATV 9,Atlas SLV-3 Agena D | GATV 9,05/17/1966 3:15 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas SLV-3 Agena D,Launch Failure
United States Air Force,Transit-O 9,Scout A | Transit-O 9,05/19/1966 2:27 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout A,Launch Successful
United States Air Force,KH-4A 33,Thor SLV-2A Agena D | KH-4A 33,05/24/1966 2 a.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Explorer 32,Thor Delta C1 | Explorer 32,05/25/1966 2 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta C1,Launch Successful
United States Air Force,Surveyor 1,Atlas Centaur D | Surveyor 1,05/30/1966 2:41 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas Centaur D,Launch Successful
United States Air Force,ATDA,Atlas SLV-3 | ATDA,06/01/1966 3 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas SLV-3,Launch Successful
United States Air Force,KH-7 29,Atlas SLV-3 Agena D | KH-7 29,06/03/1966 7:25 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OGO 3,Atlas SLV-3 Agena B | OGO 3,06/07/1966 2:48 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA",Atlas SLV-3 Agena B,Launch Successful
United States Air Force,RTS-1 1,Atlas SLV-3 Agena D | RTS-1 1,06/09/1966 8:15 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OV3-4,Scout B | OV3-4,06/10/1966 4:15 a.m.,"Launch Area 3A | Wallops Island, Virginia, USA",Scout B,Launch Successful
United States Air Force,IDCSP 1 to 7,Titan IIIC | IDCSP 1 to 7,06/16/1966 2 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Titan IIIC,Launch Successful
United States Air Force,KH-4A 34,Thor SLV-2A Agena D | KH-4A 34,06/21/1966 9:31 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Pageos,Thor SLV-2A Agena D | Pageos,06/24/1966 12:12 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
